Amostras da LAPA foram feitas nanodrop novamente no dia 11/11/2022						
Amostras de CAMPOS E1 a E48 R1 foram feitas nanodrop novamente no dia 11/11/2022						
NANODROP (Laboratório CT) 10/01/2020						
DATA EXTRAÇÃO	AMOSTRAS	CONCENTRAÇÃO (ng/ul)	A260/280	A260(10mm)		
						
23/12/21	E1 R1	-	-	-		
23/12/21	E2 R1	-	-	-		
23/12/21	E3 R1	-	-	-		
23/12/21	E4 R1	-	-	-		
23/12/21	E5 R1	-	-	-		
23/12/21	E6 R1	-	-	-		
23/12/21	E7 R1	-	-	-		
23/12/21	E8 R1	-	-	-		
23/12/21	E9 R1	-	-	-		
23/12/21	E10 R1	-	-	-		
23/12/21	E11 R1	8,8	1,62	0,58		
30/11/21	E12 R1	6,2	1,54	0,32		
30/11/21	E13 R1	7,3	1,62	0,77		
30/11/21	E14 R1	6,2	1,45	0,22		
30/11/21	E15 R1	7,9	1,42	0,58		
30/11/21	E16 R1	6,1	1,5	0,76		
23/11/21	E17 R1	2,1	1,09	0,08		
23/11/21	E18 R1	3,8	1,05	0,19		
23/11/21	E19 R1	3,3	1,47	0,15		
23/11/21	E20 R1	4,7	1,37	0,34		
23/11/21	E21 R1	2,2	1,43	0,34		
04/11/21	E22 R1	9	1,43	0,49		
04/11/21	E23 R1	7,7	1,56	0,07		
04/11/21	E24 R1	3,7	1,31	0,22		
04/11/21	E25 R1	3,6	1,39	0,11		
04/11/21	E26 R1	3,2	1,2	0,28		
26/10/2021	E27 R1	8	1,59	0,28		
26/10/2021	E28 R1	-	-	-		
26/10/2021	E29 R1	5,8	1,82	0,34		
26/10/2021	E30 R1	3,2	1,38	0,73		
26/10/2021	E31 R1	5,3	1,56	0,46		
21/10/2021	E32 R1	3,1	1,26	0,23		
21/10/2021	E33 R1	5,7	1,48	0,56		
21/10/2021	E34 R1	2,6	1,38	0,18		
11/11/21	E35 R1	3	1,11	0,3		
11/11/21	E36 R1	2,6	1,26	0,26		
11/11/21	E37 R1	2,5	1,26	0,16		
11/11/21	E38 R1	3	1,42	0,18		
11/11/21	E39 R1	2,4	1,48	0,2		
05/10/21	E40 R1	6,7	1,42	0,27		
05/10/21	E41 R1	8,2	1,46	0,53		
05/10/21	E42 R1	-	-			
05/10/21	E43 R1	8,6	1,49	1,06		
14/10/21	E44 R1	3,7	1,37	0,49		
14/10/21	E45 R1	2,8	1,28	0,82		
14/10/21	E46 R1	3,1	1,17	0,22		
21/10/21	E47 R1	2,7	1,19	0,21		
21/10/21	E48 R1	3,1	1,35	0,26		
						
						
23/12/21	E1 R1	26,3	1,59	0,17	power soil lote novo	teste de concentração
23/12/21	E3 R1	23,5	1,65	0,05	power soil lote novo	
23/12/21	E1 R1	400,6	1,55	0,34	CTAB – TOOBA	
23/12/21	E3 R1	87,6	1,46	0,35	CTAB – TOOBA	
